Unnamed: 0,contextId,context,question
19,bbd33ef4-8f57-4774-b7e5-5cc8490321e0," The George Brown College's Academic Upgrading (A751) program is a free program funded by the Employment Ontario branch of the Ministry of Labour, Training and Skills Development (MLTSD). As an enrolled student, you will have access to advising services (academic advising and career counselling) and may be eligible for a transportation allowance. The program delivery is flexible with both full-time and part-time study options available, running year-round with classes starting every seven weeks. You will create an individualized learning plan to support your life, academic and career goals, and the length of your program will vary based on your initial academic assessment, specific goals, and individual progress. Prior to starting this program, you will be required to complete a reading and writing assessment to determine your literacy levels and program eligibility.

Communications courses offered include Foundations, ACE (Academic and Career Entrance, grade 12C equivalent course for college admission purposes), Pre-ACE, and Personal and Professional Exploration (ACE level course designed to solidify student plans for college and careers). Math courses offered include ACE Business Math (grade 12C equivalent course for college admission purposes), ACE Apprenticeship Math (grade 12C equivalent course for college or Apprenticeship admission purposes), and ACE Technology Math (grade 12C equivalent course for college admission purposes). Science courses offered are physics, chemistry, and biology (only at the ACE level for college admission purposes).

By completing courses in this program, you can earn Academic and Career Entrance (ACE), grade 12 “C” equivalent credits, to apply for any program offered at an Ontario Community College. Each program intake begins with a one-day online orientation session. Students may be eligible to receive a transportation subsidy, a netbook, and/or monthly Internet device.",", Which course is a grade 12C equivalent course for college admission purposes in Communications?"
49,66bdfe56-99b2-4a36-a565-9ba59df0d601," There are several academic upgrading program areas mentioned in the text, including Choices, Mature Student Assessment Preparation, Degree Bridging classes, Practical Nursing (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), and Dental Hygiene (S134). The text also provides links for campus tours, info sessions, and signing up to receive tailored resources. The form requires the user to enter their first name, last name, email address, and country, and agree to receive email communications from George Brown College.",", Can you provide me with more information about the Choices program at George Brown College?"
48,66bdfe56-99b2-4a36-a565-9ba59df0d601," There are several academic upgrading program areas mentioned in the text, including Choices, Mature Student Assessment Preparation, Degree Bridging classes, Practical Nursing (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), and Dental Hygiene (S134). The text also provides links for campus tours, info sessions, and signing up to receive tailored resources. The form requires the user to enter their first name, last name, email address, and country, and agree to receive email communications from George Brown College.","What programs does George Brown College offer for academic upgrading in areas such as Choices, Mature Student Assessment Preparation, Degree Bridging classes, Practical Nursing (S121), Pre-Health Sciences Pathway to Certificates and Diplomas (A109), and Dental Hygiene (S134)?"
33,2c0a1856-109c-45ba-87d4-8803a173bb90," Programs Offered: ASL 7001 (Academic ASL), PREP 7139 (Learning Strategies), PREP 7142 (Career and Life Planning)
Program Learning Outcomes: Deliver specific knowledge and skills for students by the end of their program of study.
Domestic Tuition: Free, funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Admission Requirements: Completion of application form, demonstrating proficiency in American Sign Language (ASL) and English, intended for Deaf and hard-of-hearing adults aged 19 or older.
Application: Complete the application form.
Contact Information: Email - deafupgrading@georgebrown.ca, located within the School of Work and College Preparation at 341 King Street East on the 6th floor (St. James Campus, “H” building), Toronto, Ontario.
Related Programs: American Sign Language and Deaf Studies (C114), Academic Upgrading (A751), Honours Bachelor of Interpretation (American Sign Language – English) (C302)
Campus Tour and Resources: Visit campus tour page and sign up to receive tailored resources for application process.",?
36,516535dc-d5d8-4136-bd7d-7d5f49879f2f," The text does not provide any factual information about the programs offered by George Brown College. Therefore, the extracted information is an empty text.",", Is George Brown College known for any specific program?"
4,48856518-e6a1-499b-b8e5-6dc7c232bb3d," Program Name: Academic Upgrading Program for Deaf and Hard of Hearing Adults
Code: A752
Credential: George Brown College Certificate
Method of Study: Full-time
Duration: 1 to 5 semesters depending on student’s goal
Starting Months: Open enrolment (Continuous Open Enrollment for Fall 2023, Winter 2024, and Spring 2024)
Location: St. James Campus
Program Type: Academic Upgrading
Tuition Fees: No fees as this program is funded by Employment Ontario through the Ministry of Labour, Training and Skills Development (MLTSD)
Centre: Preparatory & Liberal Studies
School: Work & College Preparation
Courses Taught In: American Sign Language (ASL)
Program Availability: Fall 2023, Winter 2024, Spring 2024 (Continuous Open Enrollment for all semesters)
Delivery Mode (Fall 2023 and Winter 2024): Hybrid
Related Programs: American Sign Language and Deaf Studies (C114), Academic Upgrading (A751), Honours Bachelor of Interpretation (American Sign Language – English) (C302)",", When can students start enrolling (Open enrolment for Fall 2023, Winter 2024, and Spring 2024)?"
54,d352cd95-3a88-47a3-b043-9f8b9f8f7944," * The number of qualified applicants during the application cycle is not explicitly stated in the text.
* All applicants who meet the academic requirements will receive an audition appointment and are required to present one monologue and one scene from pre-selected choices set out by the College, which must be memorized. Applicants can contact media@georgebrown.ca for the selection of scenes and include their George Brown student ID number.
* Mature students (19 years of age or older and no OSSD) may take the Admissions Assessment for English or consider upgrading to achieve the required credits in English. Students who start the program in January (winter term) will be required to attend classes during the summer months (May to August).
* Course exemptions are available based on college or university credits, and applicants can visit the Transfer Guide for more information.
* International students should apply through the George Brown College Online Application System and visit the International Admissions page for country-specific admission requirements. They may also contact international recruitment representatives for information and to book a virtual meeting or submit an inquiry.
* The program is offered through the School of Media and Performing Arts, and classes take place at the St. James Campus located at 230 Richmond Street East, Toronto, Ontario, Canada. On-campus information sessions are available, and campus tours are offered on a regular basis. Interested individuals can sign up for an upcoming session or check out the virtual tour.
* Applicants may contact the School of Media & Performing Arts at 416-415-5000, ext. 2015 or email media@georgebrown.ca for more information about the college. They can also call the Contact Centre at 416-415-2000 (TTY 1-877-515-5559) or long distance 1-800-265-2002 for additional information. International students can contact one of the international recruitment representatives by booking a virtual meeting or submitting an inquiry on the International Contact Us page.",", Are on-campus information sessions available for interested individuals?"
62,1c60cea4-35d3-44bd-b7e4-6bd55dbf0df4," The text does not contain any specific information about the programs offered by George Brown College beyond mentioning their names (Theatre Arts – Performance (P104), Media Acting - Graduate Intensive (P707), Theatre Arts-Preparation (P108)). No factual details about these programs, such as courses offered, duration, or fees, are provided. Therefore, the extracted information is empty.",", Can you provide any details about the Theatre Arts – Performance (P104) program?"
0,213b4f16-2fc9-439a-87da-ba95b5e2fcd4," Program Name: Acting for Media
Code: P107
Credential: Ontario College Diploma
Duration: 2 years (4 semesters)
Starting Months: January, September
Domestic Tuition: $6,212.00
International Tuition: $19,248.00
Method of Study: Full-time
Location: St. James Campus
Centre: Arts, Design & Information Technology
School: Media & Performing Arts
Program Description: Acting training needed to succeed as a screen actor for various media (film, television, online, game or interactive mediums). Includes acting technique, movement, voice and script analysis. Provides on-camera experience, audition etiquette and standards. (Disclaimer: Professionalism, group work, intimacy between actors, whispering, consensual touching, combat training, expressions of physicality, deep exploration of self, personal psychological examination, conflict, and successful failure are expected.)
Code(s) for related programs: P104, P707, P108",What is the name of the program with code P107?
0,e7d78c8f-fcab-4497-98f8-613773d8114f," Program Name: Advanced French Patisserie
Code: H413
Credential: Ontario College Graduate Certificate
Method of Study: Full-time
Duration: 3 semesters
Starting Months: May
Domestic Tuition: $15,046.00
International Tuition: $34,381.00
Centre: Hospitality & Culinary Arts
School: Chef School
Location: St. James Campus
Program Delivery: Not Available (Fall 2023), On Campus (Winter 2024)
Related Programs: Baking and Pastry Arts Management (H113), Baker / Patissier Apprentice Program (H600), Culinary Arts – Italian (Postgraduate) (H411)",What is the name of this advanced program?
