Id,Context,file_path
f061d8ae-ece5-4c38-a253-a2ef8c4a6b16," Program Name: Honours Bachelor of Technology (Construction Management)
Code: T312
Credential: Honours Bachelor's Degree
Duration: 4 years (1 field placement semester)
Method of Study: Full-time
Starting Months: September
Domestic Tuition: $9,689.00 *
International Tuition: $20,485.00 **
Centre: Construction & Engineering Technologies
School: Angelo DelZotto School of Construction Management
Location: Casa Loma Campus
Experiential Learning: Mandatory Field Experience
Delivery (Fall 2023): Semester 1 - On Campus; Semesters 3, 5, 7 - Hybrid
Delivery (Winter 2024): Semesters 2, 4, 6, 8 - Hybrid
Program Description: Ontario’s first internationally accredited four-year degree program specializing in construction management.
Eligible for $1000 entrance scholarship.

* Domestic students tuition for the year 2023-2024.
** International students tuition for the year 2023-2024.",scraped_pages/programpages2023/Honours Bachelor of Technology Program (Construction Management) T312 | George Brown College2023.txt
6a111cce-fb73-4320-a27e-b3c8e1f56f88," The Honours Bachelor of Technology (Construction Management) program is a curriculum that combines theory, applied research, field study, and hands-on practical education. It prepares students to manage construction projects from start to finish and master construction-related technical disciplines and soft skills. The degree program is well recognized by the construction industry and fully accredited by the Canadian Institute of Quantity Surveyors (CIQS). Graduates are entitled to the academic credential designation of Hons. B.Tech (Construction Management) and can obtain Gold Seal Certification (GSC) offered by the Canadian Construction Association (CCA) in various roles such as certified superintendents, foremen, estimators, project managers, construction managers, and safety practitioners.

The program includes a mandatory field experience semester in the spring/summer of the third year, which requires students to complete a minimum of 450 hours of appropriate field experience or equivalent. Students can complete the field experience through the Field Experience course (TCOP 1001) or Prior Learning Assessment Recognition (PLAR) process if they have prior field experience.

Graduates of the program are prepared to assume leadership roles in various aspects of the construction industry and may choose career options including construction manager, project manager, project coordinator, field engineer, or site superintendent.",scraped_pages/programpages2023/Honours Bachelor of Technology Program (Construction Management) T312 | George Brown College2023.txt
f009585f-af86-424c-b5a3-07650652d63a," The Honours Bachelor of Technology (Construction Management) program is fully accredited by the Canadian Institute of Quantity Surveyors (CIQS). graduates are qualified to obtain professional memberships in various construction management associations, including CIQS, and the Gold Seal Certification (GSC) offered by the Canadian Construction Association (CCA). The program equips graduates with academic requirements for professional membership at CIQS. Graduates can apply for PQS or Construction Estimator Certified (CEC) designation from CIQS, and Gold Seal Certification in the Canadian construction industry is available for superintendents, foremen, estimators, project managers, owner’s construction managers and safety practitioners. The degree is well respected in the construction sector.",scraped_pages/programpages2023/Honours Bachelor of Technology Program (Construction Management) T312 | George Brown College2023.txt
276e361d-1fb7-4f41-b3b8-979459a78881," The Construction Management degree offered at George Brown College is well respected in the construction sector. According to industry leaders, this program brings together the science of construction and management, and is important for producing construction professionals to meet the industry's requirement. The construction industry is the largest employer in the Greater Toronto Area, and there is a need for improved education and training in the sector. The program is seen as a significant step towards attracting and retaining future generations of construction professionals. The industry leaders who endorsed this program include Temple Harris (vice-chairman, Gillam Group), Christopher Rick (PCL Constructors, Canada Inc.), James Zippel (General Manager, Electrical Service & Projects, Ainsworth), Greg Kozicz (president, Alberici Constructors, Ltd.), and Michael George (president, Trisura Insurance). Mike Van Volsen (operations manager, Access Suspended Platforms Inc.) also endorsed the program, emphasizing the importance of refined skills on both technical and managerial aspects due to the rapidly changing and technology-driven nature of the construction industry.",scraped_pages/programpages2023/Honours Bachelor of Technology Program (Construction Management) T312 | George Brown College2023.txt
b8789ecf-4a3c-42ef-84af-1f4401386ea7," The Honours Bachelor of Technology (Construction Management) program graduates can pursue graduate studies in relevant fields. Some universities they have attended include the University of Waterloo, Columbia University, and Toronto Metropolitan University. The required courses for the first four semesters are as follows:

Semester 1:
- BLDG 1106: Construction Materials
- BLDG 1153: Introduction to Construction Management
- BLDG 1156: Construction Materials Testing and Analysis
- BLDG 1157: Residential Construction Technology
- BLDG 1158: Blueprint Reading and Construction Measurement
- BLDG 1193: Technical Communications
- MATH 1151: Technical Mathematics 1
- Liberal Studies Elective

Semester 2:
- BLDG 1107: Construction Surveying
- BLDG 1162: Building Code and Regulations 1
- BLDG 1166: Construction Graphics 1
- BSCI 2101: Foundations in Building Science
- MATH 1181: Technical Mathematics 2
- Liberal Studies Elective

Semester 3:
- BLDG 2080: Construction Estimating 1 – Quantity Surveying
- BLDG 2109: Soils and Foundations
- BLDG 2081: Structural Systems in Building Construction 1
- BLDG 2166: Construction Graphics 2
- BSCI 3101: Applications in Building Science
- LAW 1151: Construction Law
- Liberal Studies Elective

Semester 4:
- BLDG 2082: Structural Systems in Building Construction 2
- BLDG 2105: Construction Estimating 2 – Pricing
- BLDG 2204: Commercial Construction Technology
- ECON 2005: Macro and Micro Economic Theory
- MGMT 3101: Construction Project Scheduling
- Liberal Studies Elective

Semester 5:
- BLDG 2111: Highrise Construction Technology
- BLDG 3025: Construction Estimating 3 – Bidding
- BLDG 3041: Mechanical and Electrical Construction Practices
- BLDG 3043: Construction Health and Safety
- BLDG 3044: Construction Site Engineering Management
- BLDG 3045: Heavy Construction Management Practices 1
- BLDG 3055: Work Term Preparation 1
- Liberal Studies Elective",scraped_pages/programpages2023/Honours Bachelor of Technology Program (Construction Management) T312 | George Brown College2023.txt
659051f3-630a-4d1f-b448-c0a5835b661c," The text provides information about the courses offered in a construction-related program at George Brown College. Here is the extracted information:

Semesters: 6, 7, 8

Heavy Construction Management Practices Courses: BLDG 3055 (HCM Practices 1), BLDG 3166 (Construction Project Accounting), BLDG 3167 (Construction Cost Control), BLDG 3168 (Capstone 1 – Bid Competition), BLDG 3169 (Work Term Preparation 2), BLDG 3175 (HCM Practices 2)

Management Courses: MGMT 3120 (Construction Quality Practices), MGMT 3150 (Construction Contract Administration), MGMT 4050 (Construction Project Procurement 1), MGMT 4052 (Project Financial Monitoring), MGMT 4055 (Construction Labour Relations and Human Resources), MGMT 4088 (Construction Business Management & Entrepreneurship), MGMT 4090 (Construction Procurement 2), MGMT 4091 (Leadership and Ethics for Construction Managers)

Liberal Studies Elective Courses: TBA

Other Courses: TCOP 1001 (Field Experience), BLDG 3152 (Economics of Project Development), BLDG 3170 (Preconstruction Cost Planning), BLDG 3177 (Applications in Building Information Modelling (BIM)), BLDG 4021 (Construction Risk Management), BLDG 4050 (Sustainable Construction), BLDG 4150 (Capstone Industry Research 2)

Semester 6: Code – BLDG 3168, Course Name – Capstone 1 – Bid Competition
Semester 7: Code – TCOP 1001, Course Name – Field Experience, *Field placement fee applies
Semester 8: Code – BLDG 4021, Course Name – Construction Risk Management; Code – BLDG 4050, Course Name – Sustainable Construction; Code – BLDG 4150, Course Name – Capstone Industry Research 2

Eligibility for Degree Completion Pathway: George Brown College students graduating with a grade point average of 3.0 or higher from the following programs: T105 (Construction Engineering Technology), T109 (Architectural Technology), T170 (Interior Design Technology), T148 (Building Renovation Technology), or T164 (Civil Engineering Technology); Students graduating from a program comparable to the above at another Ontario college.

For more information, contact: 416-415-5000, ext. 6297",scraped_pages/programpages2023/Honours Bachelor of Technology Program (Construction Management) T312 | George Brown College2023.txt
5269a6aa-046e-433f-a5fc-4a95e206940b," Program Learning Outcomes:
- Use relevant media to communicate construction project information
- Analyze past construction project performance for future improvement
- Manage construction projects in a compliant, safe, ethical and sustainable way
- Apply management tools and techniques to execute construction projects on time and within budget
- Recognize and value diversity in construction project execution
- Incorporate effective leadership strategies
- Analyze technical problems in construction projects
- Apply business, accounting and financial principles to manage construction project costs
- Evaluate risks impacting construction projects and devise risk mitigation strategies
- Create and manage relevant technical documents for construction projects
- Behave ethically consistent with professional codes of conduct, laws, policies and contracts

Detailed course outlines are available upon request by calling 416-415-5000, ext. 6297 or emailing construction_degree@georgebrown.ca.

Domestic Tuition: $9,689.00 for the first two semesters of programs starting in Fall 2022 (subject to change).
International Tuition: $20,485.00 for the first two semesters of programs starting in Fall 2023 (subject to change).

Tuition fees do NOT include the cost of the Field Placement.

The program is approved for OSAP funding for applicants who meet eligibility criteria.",scraped_pages/programpages2023/Honours Bachelor of Technology Program (Construction Management) T312 | George Brown College2023.txt
dd330104-8a75-41b3-a3c5-ea9a6506db72," The text provides information on the admission requirements for a program at George Brown College. Here are the key facts extracted from the text:

1. The program is approved for OSAP funding.
2. The applicants are selected based on academic achievement and specific courses.
3. Ontario Secondary School Diploma with six grade 12 University (U) or University/College (M) courses required, including English and mathematics.
4. A minimum grade of 60% in English and math is required, along with an overall average of 65% in six grade 12 (U) or (M) courses.
5. Recommended courses include basic computer software applications and calculus and vectors.
6. Mature students can apply, but they must have the required English and math credits and a grade of 65% or higher in these subjects.
7. English language proficiency is necessary for admission, with various accepted tests and minimum scores listed.
8. The program has been granted a seven-year term of consent starting from May 7, 2018.
9. International students have specific admission requirements that can be found on the International Admissions page.
10. Students are required to own or purchase a laptop and have Internet access.",scraped_pages/programpages2023/Honours Bachelor of Technology Program (Construction Management) T312 | George Brown College2023.txt
6faaf4bb-7678-433a-ab52-36895aa82b61," The Angelo DelZotto School of Construction Management at George Brown College recommends that students own or purchase a laptop with the following specifications:
- Operating system: Windows 10 Home 64-bit English
- Processor: 9th Generation Intel® Core™ i7-9750H (12MB Cache, up to 4.5 GHz, 6 cores)
- Memory (RAM): 16GB (2x8GB DDR4 2666MHz)
- Disk space: 256GB M.2 PCIe NVMe Solid State Drive (Boot) + 1TB 5400 rpm 2.5"" SATA hard drive (Storage)
- Display card: NVIDIA® GeForce RTX™ 2060 6GB GDDR6
- Connectivity: 802.11ac WiFi and Bluetooth, 2 x 2
- Ports: 1x HDMI 2.0; 3x SuperSpeed USB 3.1 Gen 1 Type-A including 1x with PowerShare; 1x 2-in-1 SD / MicroMedia Card slot; 1x Wedge lock slot
- Screen size: minimum 15.6 inch FHD(1920 x 1080) 300nits IPS Anti-Glare LED Backlit display with 144Hz refresh rate
- Audio: 1 combo headphone / microphone jack

The purchase of a Mac laptop is not recommended.

Domestic students should apply through Ontario Colleges, while international students should apply through the George Brown College Online Application System.

Contact information for the Angelo DelZotto School of Construction Management:
- Phone: 416-415-5000, ext. 6297
- Email: construction_degree@georgebrown.ca
- Office hours: 8 a.m. – 4 p.m., room E228

The Centre for Construction and Engineering Technologies (CCET) Industry Liaison Office (ILO) hosts open houses typically in the autumn and spring, for more information visit Construction and Engineering Open House page.

For general information about George Brown College, contact the Contact Centre at 416-415-2000 (TTY 1-877-515-5559) or long distance 1-800-265-2002.

Contact international recruitment representatives specializing by country of origin at [insert contact information here].",scraped_pages/programpages2023/Honours Bachelor of Technology Program (Construction Management) T312 | George Brown College2023.txt
caacd850-d1f1-4cf2-87a1-28ee2901cc91," The text provides information about contacting international recruitment representatives at George Brown College for specific country assistance, signing up for on-campus information sessions, exploring related programs, booking a campus tour, and receiving tailored resources to make an application. There are no mentions of any particular program or courses offered by the college in the text.

Therefore, the extracted information is empty.",scraped_pages/programpages2023/Honours Bachelor of Technology Program (Construction Management) T312 | George Brown College2023.txt
